	Density	Loading C	Loading Ion	Loading Pt	Mass atten.	Thickness	calc. GSV
0	0.666	0.333	0.333	0.333	6.999134255236303	15	16516.68027318923
1	0.6666666666666666	0.846	0.077	0.077	1.785001325859242	15	12950.4879080368
2	0.666	0.913	0.043	0.043	1.1033104230898836	15	12482.864911228398
3	0.666	0.939	0.03	0.03	0.842574407571357	15	12304.474074806105
4	0.666	0.953	0.023	0.023	0.7022486263226837	15	12208.465729204981
5	0.6666666666666666	0.962	0.019	0.019	0.6217938684864064	15	12153.845894064058
6	0.6666666666666666	0.968	0.016	0.016	0.5617978001743552	15	12112.756586746076
7	0.6673333333333332	0.973	0.014	0.014	0.5215282396084685	15	12085.53448434022
8	0.6666666666666666	0.976	0.012	0.012	0.4818024403325398	15	12057.970431302412
9	0.6666666666666666	0.978	0.011	0.011	0.4618244365098222	15	12044.288162417693
10	0.6666666666666666	0.077	0.077	0.846	17.73856631780547	15	23876.55278552104
11	0.666	0.478	0.043	0.478	10.152039300211847	15	18673.840522089682
12	0.666	0.636	0.03	0.333	7.100582062496894	15	16586.08901656684
13	0.6666666666666666	0.721	0.023	0.256	5.536976842967293	15	15520.090873853533
14	0.6673333333333332	0.774	0.019	0.208	4.521897262129212	15	14827.993601628483
15	0.6673333333333334	0.81	0.016	0.175	3.8450029356421123	15	14363.94765820062
16	0.6673333333333332	0.836	0.014	0.151	3.35784961513097	15	14029.97895235578
17	0.6666666666666666	0.855	0.012	0.133	2.976694275368473	15	13766.638686057355
18	0.6666666666666666	0.871	0.011	0.118	2.666884908531215	15	13554.460577689411
19	0.6666666666666666	0.883	0.01	0.107	2.4456413611639345	15	13402.938246882473
20	0.666	0.043	0.043	0.913	19.159606334292434	15	24836.6539490876
21	0.666	0.333	0.03	0.636	13.412821281466385	15	20904.80820743198
22	0.666	0.488	0.023	0.488	10.33889608735834	15	18801.684535061788
23	0.6666666666666666	0.585	0.019	0.396	8.427779902934681	15	17499.9055295232
24	0.6666666666666666	0.651	0.016	0.333	7.130779713741099	15	16611.633333284153
25	0.6673333333333332	0.699	0.014	0.288	6.1937366053878495	15	15974.125626886434
26	0.6666666666666666	0.735	0.012	0.253	5.468976898810681	15	15473.519978765475
